N,P,K,temperature,humidity,ph,rainfall,label
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans
8,72,17,20.57341244,19.7520218,5.711439256,87.87869161,kidneybeans
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans
27,56,22,19.91853092,20.70099804,5.833010957999999,108.6434544,kidneybeans
17,77,24,20.76952209,18.93146941,5.568456899,109.0193712,kidneybeans
0,65,15,23.46168338,23.22197648,5.645435626,95.84253438,kidneybeans
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,kidneybeans
34,60,23,20.12574053,24.96969858,5.659254981,100.0497183,kidneybeans
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,kidneybeans
11,72,20,19.52226241,24.92607153,5.9511774520000005,113.334026,kidneybeans
3,67,24,17.00067625,19.90790546,5.5208800139999985,103.2926407,kidneybeans
35,69,23,16.78791503,24.96881755,5.578410206,75.45328039,kidneybeans
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans
23,62,19,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans
22,71,17,18.15300153,19.38602098,5.509295379,107.6907964,kidneybeans
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,kidneybeans
34,59,18,23.38002569,21.98879437,5.744117663,87.66898664,kidneybeans
12,63,17,18.358923,19.37703396,5.717143397,138.414764,kidneybeans
27,56,20,19.25975367,20.51346956,5.542690119,94.9533526,kidneybeans
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans
24,67,22,20.120043,22.89845607,5.618844277000001,104.6252153,kidneybeans
11,71,24,21.14011423,22.7182355,5.6066203460000015,141.6056722,kidneybeans
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans
25,76,24,15.33042636,24.91506728,5.56503533,135.3315583,kidneybeans
34,66,17,18.81097271,21.27833035,5.889614577000001,125.084915,kidneybeans
20,69,15,23.44260668,22.77255917,5.934136378,107.4137246,kidneybeans
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans
4,67,25,23.78709569,24.35679348,5.948164454,119.6404412,kidneybeans
37,56,25,22.05592283,19.60379304,5.7747551439999985,126.7265372,kidneybeans
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
11,61,21,18.62328774,23.02410338,5.532100554,135.33780330000002,kidneybeans
22,80,20,23.00884744,18.86880997,5.669560726,100.118612,kidneybeans
12,61,19,19.33162606,24.13995025,5.655726817000001,68.51253427,kidneybeans
5,74,21,16.24469193,21.35793891,5.5917040139999985,66.97053257,kidneybeans
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans
31,75,18,15.46789263,21.43780702,5.8242083089999985,88.88796102,kidneybeans
36,68,20,17.06104474,23.77201471,5.86442953,81.83420522,kidneybeans
5,65,16,21.32776028,18.48522915,5.866744372,109.1013261,kidneybeans
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
11,78,22,23.89756791,22.74378977,5.940546818,112.6616435,kidneybeans
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
29,68,23,24.1638445,19.27907819,5.82738029,116.7324324,kidneybeans
32,68,19,24.62835037,18.18325169,5.514234138,149.7441028,kidneybeans
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans
13,69,19,17.30844532,20.01730914,5.86390397,115.199245,kidneybeans
14,67,22,23.82576704,24.75485098,5.624690247999999,84.64143632,kidneybeans
9,69,20,19.30607278,23.96362799,5.591560999,129.3449326,kidneybeans
20,73,22,16.03768615,22.33195853,5.976312537999999,130.3900798,kidneybeans
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans
27,72,23,19.92889503,21.79992115,5.961934481,64.02640797,kidneybeans
14,67,15,19.56376468,24.67385131,5.690065688,139.2921004,kidneybeans
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans
27,65,18,20.10993761,23.22323766,5.59503163,73.36386477,kidneybeans
30,63,16,23.60506572,21.90539577,5.5259045260000015,100.5978728,kidneybeans
37,70,25,19.73136909,24.89487354,5.819403771,84.06354115,kidneybeans
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,kidneybeans
22,60,24,18.78226261,20.24768314,5.630664753,104.2570723,kidneybeans
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
108,89,53,29.55054817,78.06762846,5.8084976039999985,99.34482238,banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
105,77,52,29.16226551,76.16151562,5.8166224789999985,100.0075679,banana
118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
117,86,48,28.6956201,82.54195839,6.2252252389999985,116.1616839,banana
114,94,53,26.33544853,76.8532006,6.1907574589999985,118.6858263,banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
94,91,51,29.16093424,76.67484233,5.6180944460000015,109.575944,banana
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
99,73,53,26.29039046,81.06003778,5.8717022110000014,118.6730366,banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,banana
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana
90,86,52,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
116,81,55,26.42313317,83.69950440000002,5.915546415,95.12322062,banana
101,75,50,26.59386409,81.40740301,6.242528277999999,109.9825551,banana
93,81,50,27.71822477,76.57853189,6.0360792660000016,102.2099836,banana
95,75,45,28.98333432,82.95958244,5.829898502000001,109.022564,banana
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
117,86,53,25.19640218,83.55829874,5.703381727999999,115.8586081,banana
111,79,53,28.31193338,75.77363772,6.165001277999999,119.695765,banana
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
92,85,51,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
92,75,45,29.01207743,77.95192527,5.6744033589999985,90.43495443,banana
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
120,87,52,28.0764455,76.05522115,5.905494703,118.99235729999998,banana
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,banana
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,banana
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
97,74,45,26.47522633,78.51833782,5.677719902000001,113.1161095,banana
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,banana
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
89,85,55,26.671983500000003,76.48541655,6.275384607,91.73358569,banana
118,88,51,25.44926208,79.49221962,6.201911642000001,100.6619171,banana
101,92,45,28.22776705,80.64303840000002,5.758054257,98.00403016,banana
99,92,47,28.127950899999995,77.48247073,6.3239336470000005,103.5045395,banana
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
90,86,55,27.96236771,84.15403614,5.644486582000001,97.55986676,banana
95,88,52,28.00316034,78.90085998,6.235461772000001,94.68180316,banana
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,banana
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,banana
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
82,75,55,27.34585147,78.48738349999998,6.281069505,92.15524332,banana
117,81,53,29.50704598,78.20585613,5.507641777999999,98.12565829,banana
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes
13,144,204,30.7280404,82.42614055,6.092241627000001,68.38135469,grapes
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
35,140,197,16.77557314,82.75241875,6.106190557000001,66.76285469,grapes
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,grapes
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,grapes
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,grapes
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,grapes
3,136,205,17.5862944,80.84806564,6.334771461,71.40654520000002,grapes
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,grapes
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,grapes
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,grapes
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,grapes
25,121,201,30.50734778,82.71775569,5.594240602999999,70.08200379,grapes
15,125,199,18.426993600000007,80.55625868,5.569230319,69.75734306,grapes
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,grapes
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,grapes
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,grapes
26,135,203,33.78372897,81.16314317,5.6851027689999984,74.53557341,grapes
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,grapes
32,139,198,35.89307536,82.66850729,6.358186848,66.53946559,grapes
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,grapes
20,142,196,10.89875873,80.01639435,6.207600782999999,68.69420397,grapes
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,grapes
3,134,199,20.28370163,81.32235739,5.81717753,71.06611222,grapes
38,138,204,25.11108456,83.25447587,6.325480034,73.01026829,grapes
14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,grapes
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,grapes
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,grapes
11,132,197,15.99050693,81.23966573,5.7343170070000005,74.40198861,grapes
0,137,195,22.4359017,80.18612085,6.329499832000001,65.3973168,grapes
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,grapes
31,136,197,31.11047251,83.34010951,5.653776057999999,71.43001582,grapes
4,134,200,28.57828803,80.95628959,5.840256272,73.34232097,grapes
39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes
8,127,196,27.02766138,83.17093908,5.833302165,70.95666003,grapes
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,grapes
32,120,204,10.38004759,83.44518113,6.138958698,67.39173790000001,grapes
12,142,203,31.3115978,82.56407013,5.972850837999999,65.01095312,grapes
8,133,195,20.46657776,80.97598029,6.456079585,71.29813872,grapes
8,139,199,29.36947679,81.53996362,6.3364266670000005,66.13442813,grapes
21,134,202,10.72302459,80.02130636,6.425419926,65.29821120000001,grapes
40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,grapes
19,120,195,18.73932187,81.12109244,5.931538447,73.55807954,grapes
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,grapes
17,136,195,41.20733624,81.61051026,6.389783283,65.90227462,grapes
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes
32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,grapes
37,135,205,11.82768186,80.2827185,5.5109248489999985,74.10225057,grapes
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,grapes
39,132,196,35.83089092,83.32560104,5.778594403,73.67984885,grapes
40,121,199,26.18159716,81.03886263,6.315586313,66.05911698,grapes
40,132,202,24.57558351,80.70695797,5.9718130060000005,69.706113,grapes
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes
32,121,199,39.37102553,81.25353895,6.129812716,74.08101744,grapes
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes
8,120,196,24.06679352,82.66396666,6.053662544,69.81855775,grapes
34,133,202,15.31413469,80.09711412,5.804799142,74.82144653,grapes
35,135,199,21.77466746,80.54942557,6.400719746,69.39630398,grapes
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,grapes
8,136,201,41.65602996,82.22118237,5.6092559920000005,74.19664838,grapes
25,129,195,17.98667801,81.17712085,5.777271492000001,72.37127689,grapes
16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,grapes
39,129,203,34.38922481,83.18392806,5.863996687,71.03001556,grapes
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes
33,120,205,35.12158265,82.26890793,5.550832177999999,69.71518491,grapes
35,125,204,19.6491772,80.15215777,6.107741787999999,73.69529586,grapes
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,grapes
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,grapes
28,145,202,19.2077707,82.90428409999998,6.484323189,66.83113717,grapes
6,128,200,25.96308415,82.57813624,5.838748311,70.31782647,grapes
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes
37,144,197,11.18994268,80.8084305,6.415555956,66.34234944,grapes
38,120,197,17.5438296,82.94703302,6.323722572,73.77063744,grapes
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes
14,121,203,9.724457611,83.74765639,6.1586894060000015,74.46411148,grapes
6,125,204,27.92004934,82.93262435,5.7335398070000005,69.92092839,grapes
32,138,197,9.535585543,80.73112694,5.908724337000001,69.44115171,grapes
11,124,204,13.42988625,80.06633966,6.361141107000001,71.40043037,grapes
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,grapes
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,grapes
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,grapes
35,134,204,9.949929082,82.55138983,5.841138354,66.00817551,grapes
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
119,19,55,25.18780042,83.44621709,6.818261382999999,46.87420883,watermelon
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
114,8,50,24.74631269,88.30866319,6.581587932000001,57.95826144,watermelon
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon
83,25,53,26.49195283,80.04678201,6.057697106,57.72799157,watermelon
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
104,17,46,25.7131428,80.22972777,6.190015912000001,43.08961827,watermelon
95,12,51,25.76484262,84.17269959999999,6.681606702000001,44.22066914,watermelon
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
81,18,50,26.80750629,88.22874955,6.429788072999999,58.79889057,watermelon
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,watermelon
120,19,49,25.79448878,84.26830701,6.762471628999998,56.45229202,watermelon
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,watermelon
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon
116,5,54,25.37601283,80.99313508,6.65398725,57.23028471,watermelon
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,watermelon
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,watermelon
108,22,46,26.17668721,86.72952049999998,6.121168559,53.33484977,watermelon
119,7,55,26.03867719,84.6378378,6.031424482,44.3993381,watermelon
117,27,48,26.53259325,82.39053979,6.8352681839999985,54.30660782,watermelon
109,10,53,26.81938687,87.8274604,6.5517503060000015,46.06193778,watermelon
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,watermelon
100,18,52,26.20234499,80.38266489,6.87606733,56.47941847,watermelon
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
86,6,53,25.92030221,83.47202566,6.921847887999999,42.10681516,watermelon
107,5,52,26.6634609,89.98405233,6.8814257460000015,57.40847165,watermelon
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon
101,20,48,24.6774157,82.75411437,6.2062474939999985,57.05709413,watermelon
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon
84,7,51,26.81530456,87.65694462,6.399669044,55.74073582,watermelon
102,28,54,25.15623099,80.27525115,6.862157042000001,55.49541453,watermelon
98,25,52,25.2801372,83.15393658,6.224066378,49.29456609,watermelon
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,watermelon
90,16,45,24.92093261,80.61750795,6.291540277999999,50.55710813,watermelon
95,12,46,26.21667586,81.01009354,6.32281728,54.65423596,watermelon
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,watermelon
82,25,51,24.31334971,87.47409052,6.074209622000001,48.11248366,watermelon
110,28,46,24.29105004,88.04541346,6.49889585,51.26046418,watermelon
118,21,51,24.42998931,86.33904774,6.678805092,48.58241822,watermelon
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,watermelon
81,6,55,24.88910524,85.87059083,6.110142735,51.70699144,watermelon
101,13,54,25.42900869,82.91481799,6.828982708,56.34144589,watermelon
101,17,55,24.37118217,87.1269128,6.4514997639999985,44.63907691,watermelon
111,6,53,26.493064500000006,88.59143088,6.3135129989999985,46.06382209,watermelon
107,10,49,25.83202912,89.00481725,6.755192025,45.24690619,watermelon
115,11,46,24.41592661,89.39655519,6.623167177000001,40.32161859,watermelon
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,watermelon
